Date,Close,High,Low,Open,Volume,VIX_close,TNX_close
2015-01-02,2058.199951171875,2072.360107421875,2046.0400390625,2058.89990234375,2708700000,17.790000915527344,2.122999906539917
2015-01-05,2020.5799560546875,2054.43994140625,2017.3399658203125,2054.43994140625,3799120000,19.920000076293945,2.0390000343322754
2015-01-06,2002.6099853515625,2030.25,1992.43994140625,2022.1500244140625,4460110000,21.1200008392334,1.9630000591278076
2015-01-07,2025.9000244140625,2029.6099853515625,2005.550048828125,2005.550048828125,3805480000,19.309999465942383,1.9539999961853027
2015-01-08,2062.139892578125,2064.080078125,2030.6099853515625,2030.6099853515625,3934010000,17.010000228881836,2.0160000324249268
2015-01-09,2044.81005859375,2064.429931640625,2038.3299560546875,2063.449951171875,3364140000,17.549999237060547,1.9709999561309814
2015-01-12,2028.260009765625,2049.300048828125,2022.5799560546875,2046.1300048828125,3456460000,19.600000381469727,1.9119999408721924
2015-01-13,2023.030029296875,2056.929931640625,2008.25,2031.5799560546875,4107300000,20.559999465942383,1.8899999856948853
2015-01-14,2011.27001953125,2018.4000244140625,1988.43994140625,2018.4000244140625,4378680000,21.479999542236328,1.8370000123977661
2015-01-15,1992.6700439453125,2021.3499755859375,1991.469970703125,2013.75,4276720000,22.389999389648438,1.774999976158142
2015-01-16,2019.4200439453125,2020.4599609375,1988.1199951171875,1992.25,4056410000,20.950000762939453,1.815000057220459
2015-01-20,2022.550048828125,2028.93994140625,2004.489990234375,2020.760009765625,3944340000,19.889999389648438,1.8070000410079956
2015-01-21,2032.1199951171875,2038.2900390625,2012.0400390625,2020.18994140625,3730070000,18.850000381469727,1.8530000448226929
2015-01-22,2063.14990234375,2064.6201171875,2026.3800048828125,2034.300048828125,4176050000,16.399999618530273,1.8960000276565552
2015-01-23,2051.820068359375,2062.97998046875,2050.5400390625,2062.97998046875,3573560000,16.65999984741211,1.8170000314712524
2015-01-26,2057.090087890625,2057.6201171875,2040.969970703125,2050.419921875,3465760000,15.520000457763672,1.8279999494552612
2015-01-27,2029.550048828125,2047.8599853515625,2019.9100341796875,2047.8599853515625,3329810000,17.219999313354492,1.8250000476837158
2015-01-28,2002.1600341796875,2042.489990234375,2001.489990234375,2032.3399658203125,4067530000,20.440000534057617,1.7239999771118164
2015-01-29,2021.25,2024.6400146484375,1989.1800537109375,2002.449951171875,4127140000,18.760000228881836,1.7510000467300415
2015-01-30,1994.989990234375,2023.3199462890625,1993.3800048828125,2019.3499755859375,4568650000,20.969999313354492,1.6749999523162842
2015-02-02,2020.8499755859375,2021.6600341796875,1980.9000244140625,1996.6700439453125,4008330000,19.43000030517578,1.6729999780654907
2015-02-03,2050.030029296875,2050.300048828125,2022.7099609375,2022.7099609375,4615900000,17.329999923706055,1.7799999713897705
2015-02-04,2041.510009765625,2054.739990234375,2036.719970703125,2048.860107421875,4141920000,18.329999923706055,1.7970000505447388
2015-02-05,2062.52001953125,2063.550048828125,2043.449951171875,2043.449951171875,3821990000,16.850000381469727,1.815000057220459
2015-02-06,2055.469970703125,2072.39990234375,2049.969970703125,2062.280029296875,4232970000,17.290000915527344,1.937999963760376
2015-02-09,2046.739990234375,2056.159912109375,2041.8800048828125,2053.469970703125,3549540000,18.549999237060547,1.9479999542236328
2015-02-10,2068.590087890625,2070.860107421875,2048.6201171875,2049.3798828125,3669850000,17.229999542236328,1.9910000562667847
2015-02-11,2068.530029296875,2073.47998046875,2057.989990234375,2068.550048828125,3596860000,16.959999084472656,1.9880000352859497
2015-02-12,2088.47998046875,2088.530029296875,2069.97998046875,2069.97998046875,3788350000,15.34000015258789,1.9859999418258667
2015-02-13,2096.989990234375,2097.030029296875,2086.699951171875,2088.780029296875,3527450000,14.6899995803833,2.0209999084472656
2015-02-17,2100.340087890625,2101.300048828125,2089.800048828125,2096.469970703125,3361750000,15.800000190734863,2.1449999809265137
2015-02-18,2099.679931640625,2100.22998046875,2092.14990234375,2099.159912109375,3370020000,15.449999809265137,2.065999984741211
2015-02-19,2097.449951171875,2102.1298828125,2090.7900390625,2099.25,3247100000,15.289999961853027,2.11299991607666
2015-02-20,2110.300048828125,2110.610107421875,2085.43994140625,2097.64990234375,3281600000,14.300000190734863,2.132999897003174
2015-02-23,2109.659912109375,2110.050048828125,2103.0,2109.830078125,3093680000,14.5600004196167,2.059000015258789
2015-02-24,2115.47998046875,2117.93994140625,2105.8701171875,2109.10009765625,3199840000,13.6899995803833,1.9880000352859497
2015-02-25,2113.860107421875,2119.590087890625,2109.889892578125,2115.300048828125,3312340000,13.84000015258789,1.968999981880188
2015-02-26,2110.739990234375,2113.909912109375,2103.760009765625,2113.909912109375,3408690000,13.90999984741211,2.0160000324249268
2015-02-27,2104.5,2112.739990234375,2103.75,2110.8798828125,3547380000,13.34000015258789,2.002000093460083
2015-03-02,2117.389892578125,2117.52001953125,2104.5,2105.22998046875,3409490000,13.039999961853027,2.0840001106262207
2015-03-03,2107.780029296875,2115.760009765625,2098.260009765625,2115.760009765625,3262300000,13.859999656677246,2.121999979019165
2015-03-04,2098.530029296875,2107.719970703125,2094.489990234375,2107.719970703125,3421110000,14.229999542236328,2.122999906539917
2015-03-05,2101.0400390625,2104.25,2095.219970703125,2098.5400390625,3103030000,14.039999961853027,2.111999988555908
2015-03-06,2071.260009765625,2100.909912109375,2067.27001953125,2100.909912109375,3853570000,15.199999809265137,2.240000009536743
2015-03-09,2079.429931640625,2083.489990234375,2072.2099609375,2072.25,3349090000,15.0600004196167,2.194999933242798
2015-03-10,2044.1600341796875,2076.139892578125,2044.1600341796875,2076.139892578125,3668900000,16.690000534057617,2.125999927520752
2015-03-11,2040.239990234375,2050.080078125,2039.68994140625,2044.68994140625,3406570000,16.8700008392334,2.1089999675750732
2015-03-12,2065.949951171875,2066.409912109375,2041.0999755859375,2041.0999755859375,3405860000,15.420000076293945,2.0959999561309814
2015-03-13,2053.39990234375,2064.56005859375,2041.1700439453125,2064.56005859375,3498560000,16.0,2.111999988555908
2015-03-16,2081.18994140625,2081.409912109375,2055.35009765625,2055.35009765625,3295600000,15.609999656677246,2.0980000495910645
2015-03-17,2074.280029296875,2080.590087890625,2065.080078125,2080.590087890625,3221840000,15.65999984741211,2.058000087738037
2015-03-18,2099.5,2106.85009765625,2061.22998046875,2072.840087890625,4128210000,13.970000267028809,1.9509999752044678
2015-03-19,2089.27001953125,2098.68994140625,2085.56005859375,2098.68994140625,3305220000,14.069999694824219,1.9769999980926514
2015-03-20,2108.10009765625,2113.919921875,2090.320068359375,2090.320068359375,5554120000,13.020000457763672,1.9299999475479126
2015-03-23,2104.419921875,2114.860107421875,2104.419921875,2107.989990234375,3267960000,13.40999984741211,1.9149999618530273
2015-03-24,2091.5,2107.6298828125,2091.5,2103.93994140625,3189820000,13.619999885559082,1.878000020980835
2015-03-25,2061.050048828125,2097.429931640625,2061.050048828125,2093.10009765625,3521140000,15.4399995803833,1.9199999570846558
2015-03-26,2056.14990234375,2067.14990234375,2045.5,2059.93994140625,3510670000,15.800000190734863,2.006999969482422
2015-03-27,2061.02001953125,2062.830078125,2052.9599609375,2055.780029296875,3008550000,15.069999694824219,1.9479999542236328
2015-03-30,2086.239990234375,2088.969970703125,2064.110107421875,2064.110107421875,2917690000,14.510000228881836,1.9630000591278076
2015-03-31,2067.889892578125,2084.050048828125,2067.0400390625,2084.050048828125,3376550000,15.289999961853027,1.934000015258789
2015-04-01,2059.68994140625,2067.6298828125,2048.3798828125,2067.6298828125,3543270000,15.109999656677246,1.8680000305175781
2015-04-02,2066.9599609375,2072.169921875,2057.320068359375,2060.030029296875,3095960000,14.670000076293945,1.9040000438690186
2015-04-06,2080.6201171875,2086.989990234375,2056.52001953125,2064.8701171875,3302970000,14.739999771118164,1.9040000438690186
2015-04-07,2076.330078125,2089.81005859375,2076.10009765625,2080.7900390625,3065510000,14.779999732971191,1.8930000066757202
2015-04-08,2081.89990234375,2086.68994140625,2073.300048828125,2076.93994140625,3265330000,13.979999542236328,1.8949999809265137
2015-04-09,2091.179931640625,2093.31005859375,2074.2900390625,2081.2900390625,3172360000,13.09000015258789,1.9579999446868896
2015-04-10,2102.06005859375,2102.610107421875,2091.510009765625,2091.510009765625,3156200000,12.579999923706055,1.9509999752044678
2015-04-13,2092.429931640625,2107.64990234375,2092.330078125,2102.030029296875,2908420000,13.9399995803833,1.9390000104904175
2015-04-14,2095.840087890625,2098.6201171875,2083.239990234375,2092.280029296875,3301270000,13.670000076293945,1.9040000438690186
2015-04-15,2106.6298828125,2111.909912109375,2097.820068359375,2097.820068359375,4013760000,12.84000015258789,1.899999976158142
2015-04-16,2104.989990234375,2111.300048828125,2100.02001953125,2105.9599609375,3434120000,12.600000381469727,1.878000020980835
2015-04-17,2081.179931640625,2102.580078125,2072.3701171875,2102.580078125,3627600000,13.890000343322754,1.850000023841858
2015-04-20,2100.39990234375,2103.93994140625,2084.110107421875,2084.110107421875,3000160000,13.300000190734863,1.8949999809265137
2015-04-21,2097.2900390625,2109.639892578125,2094.3798828125,2102.820068359375,3243410000,13.25,1.9160000085830688
2015-04-22,2107.9599609375,2109.97998046875,2091.050048828125,2098.27001953125,3348480000,12.710000038146973,1.972000002861023
