Close,High,Low,Open,Volume,VIX_close,TNX_close,Year,Month,Day,Day_of_Week,Daily_Return,Lag_1,Lag_2,Lag_3,RSI_14,Target
2051.820068359375,2062.97998046875,2050.5400390625,2062.97998046875,3573560000,16.65999984741211,1.8170000314712524,2015,1,23,4,-0.005491522439307173,0.015269721916580492,0.004731623968765364,0.0015499523698385698,48.80257191350218,1
2057.090087890625,2057.6201171875,2040.969970703125,2050.419921875,3465760000,15.520000457763672,1.8279999494552608,2015,1,26,0,0.002568460857030219,-0.005491522439307173,0.015269721916580492,0.004731623968765364,57.799662343473976,0
2029.550048828125,2047.8599853515625,2019.9100341796875,2047.8599853515625,3329810000,17.219999313354492,1.825000047683716,2015,1,27,1,-0.013387862410411011,0.002568460857030219,-0.005491522439307173,0.015269721916580492,55.52912692141376,0
2002.1600341796875,2042.489990234375,2001.489990234375,2032.3399658203125,4067530000,20.440000534057617,1.7239999771118164,2015,1,28,2,-0.013495609366348305,-0.013387862410411011,0.002568460857030219,-0.005491522439307173,45.208291652663604,1
2021.25,2024.6400146484373,1989.1800537109373,2002.449951171875,4127140000,18.76000022888184,1.7510000467300415,2015,1,29,3,0.009534685287099887,-0.013495609366348305,-0.013387862410411011,0.002568460857030219,41.132851834949335,0
1994.989990234375,2023.3199462890625,1993.3800048828125,2019.3499755859373,4568650000,20.96999931335449,1.6749999523162842,2015,1,30,4,-0.012991965252009852,0.009534685287099887,-0.013495609366348305,-0.013387862410411011,39.59914005327266,1
2020.8499755859373,2021.6600341796875,1980.9000244140625,1996.6700439453125,4008330000,19.43000030517578,1.6729999780654907,2015,2,2,0,0.012962463710669558,-0.012991965252009852,0.009534685287099887,-0.013495609366348305,48.510903231155716,1
2050.030029296875,2050.300048828125,2022.7099609375,2022.7099609375,4615900000,17.329999923706055,1.7799999713897705,2015,2,3,1,0.014439495293299576,0.012962463710669558,-0.012991965252009852,0.009534685287099887,54.949410324160596,0
2041.510009765625,2054.739990234375,2036.719970703125,2048.860107421875,4141920000,18.32999992370605,1.7970000505447388,2015,2,4,2,-0.0041560462088314765,0.014439495293299576,0.012962463710669558,-0.012991965252009852,55.609976149346934,1
2062.52001953125,2063.550048828125,2043.449951171875,2043.449951171875,3821990000,16.850000381469727,1.815000057220459,2015,2,5,3,0.010291406686777416,-0.0041560462088314765,0.014439495293299576,0.012962463710669558,62.84338331577371,0
